,dynamic prices,tariff
2023-01-01 00:00:00,16.7220585,21.49
2023-01-01 01:00:00,17.2343535,21.49
2023-01-01 02:00:00,17.1843735,21.49
2023-01-01 03:00:00,16.733304,21.49
2023-01-01 04:00:00,16.8070245,21.49
2023-01-01 05:00:00,16.69332,21.49
2023-01-01 06:00:00,16.740801,21.49
2023-01-01 07:00:00,17.205615,21.49
2023-01-01 08:00:00,17.188122,21.49
2023-01-01 09:00:00,17.2318545,21.49
2023-01-01 10:00:00,17.2343535,21.49
2023-01-01 11:00:00,17.2343535,21.49
2023-01-01 12:00:00,17.2693395,21.49
2023-01-01 13:00:00,17.3343135,21.49
2023-01-01 14:00:00,17.4742575,21.49
2023-01-01 15:00:00,20.3081235,21.49
2023-01-01 16:00:00,21.933723,21.49
2023-01-01 17:00:00,23.1194985,21.49
2023-01-01 18:00:00,24.3115215,21.49
2023-01-01 19:00:00,24.2340525,21.49
2023-01-01 20:00:00,23.5193385,21.49
2023-01-01 21:00:00,22.9895505,21.49
2023-01-01 22:00:00,23.110752,21.49
2023-01-01 23:00:00,21.7413,21.49
2023-01-02 00:00:00,24.6039045,26.39
2023-01-02 01:00:00,23.8242165,26.39
2023-01-02 02:00:00,23.9816535,26.39
2023-01-02 03:00:00,22.8770955,26.39
2023-01-02 04:00:00,23.625546,26.39
2023-01-02 05:00:00,26.079564,26.39
2023-01-02 06:00:00,30.497796,31.51
2023-01-02 07:00:00,34.941018,36.71
2023-01-02 08:00:00,35.608251,36.71
2023-01-02 09:00:00,35.7419475,36.71
2023-01-02 10:00:00,35.5620195,36.71
2023-01-02 11:00:00,35.2796325,36.71
2023-01-02 12:00:00,35.408331,36.71
2023-01-02 13:00:00,35.330862,36.71
2023-01-02 14:00:00,35.88564,36.71
2023-01-02 15:00:00,36.777783,36.71
2023-01-02 16:00:00,37.7211555,36.71
2023-01-02 17:00:00,38.60955,36.71
2023-01-02 18:00:00,39.201813,36.71
2023-01-02 19:00:00,37.917327,36.71
2023-01-02 20:00:00,36.4854,36.71
2023-01-02 21:00:00,35.0697165,36.71
2023-01-02 22:00:00,34.2250545,36.71
2023-01-02 23:00:00,32.889339,31.51
2023-01-03 00:00:00,33.6127995,31.51
2023-01-03 01:00:00,32.36205,31.51
2023-01-03 02:00:00,32.207112,31.51
2023-01-03 03:00:00,31.7373,31.51
2023-01-03 04:00:00,31.5661185,31.51
2023-01-03 05:00:00,31.8959865,31.51
2023-01-03 06:00:00,34.726104,36.71
2023-01-03 07:00:00,37.350054,36.71
2023-01-03 08:00:00,38.5058415,36.71
2023-01-03 09:00:00,38.756991,36.71
2023-01-03 10:00:00,38.4308715,36.71
2023-01-03 11:00:00,38.5458255,36.71
2023-01-03 12:00:00,37.922325,36.71
2023-01-03 13:00:00,37.4737545,36.71
2023-01-03 14:00:00,37.742397,36.71
2023-01-03 15:00:00,38.3259135,36.71
2023-01-03 16:00:00,38.1859695,36.71
2023-01-03 17:00:00,38.699514,36.71
