Time,Wholesale price corrected,group,tariff
2024-01-01 00:00:00,6.700500000000002,winter,8.77
2024-01-01 01:00:00,6.6910500000000015,winter,8.77
2024-01-01 02:00:00,6.690000000000001,winter,8.77
2024-01-01 03:00:00,6.689050000000002,winter,8.77
2024-01-01 04:00:00,6.687150000000002,winter,8.77
2024-01-01 05:00:00,6.688100000000001,winter,8.77
2024-01-01 06:00:00,6.685250000000002,winter,8.77
2024-01-01 07:00:00,6.688100000000001,winter,8.77
2024-01-01 08:00:00,6.690000000000001,winter,8.77
2024-01-01 09:00:00,6.694200000000001,winter,8.77
2024-01-01 10:00:00,6.696300000000002,winter,8.77
2024-01-01 11:00:00,6.7467000000000015,winter,8.77
2024-01-01 12:00:00,6.925200000000001,winter,8.77
2024-01-01 13:00:00,6.895800000000001,winter,8.77
2024-01-01 14:00:00,6.799200000000002,winter,8.77
2024-01-01 15:00:00,7.074300000000001,winter,8.77
2024-01-01 16:00:00,11.2113,winter,8.77
2024-01-01 17:00:00,11.93265,winter,14.02
2024-01-01 18:00:00,12.78,winter,14.02
2024-01-01 19:00:00,12.38625,winter,14.02
2024-01-01 20:00:00,11.73105,winter,14.02
2024-01-01 21:00:00,11.199750000000002,winter,8.77
2024-01-01 22:00:00,11.63445,winter,14.02
2024-01-01 23:00:00,10.42275,winter,8.77
2024-01-02 00:00:00,9.90195,winter,8.77
2024-01-02 01:00:00,8.79735,winter,8.77
2024-01-02 02:00:00,9.948150000000002,winter,8.77
2024-01-02 03:00:00,8.620949999999999,winter,8.77
2024-01-02 04:00:00,7.8534000000000015,winter,8.77
2024-01-02 05:00:00,8.1369,winter,8.77
2024-01-02 06:00:00,11.69115,winter,14.02
2024-01-02 07:00:00,12.790500000000002,winter,14.02
2024-01-02 08:00:00,13.585350000000002,winter,14.02
2024-01-02 09:00:00,13.48665,winter,14.02
2024-01-02 10:00:00,13.9329,winter,14.02
2024-01-02 11:00:00,14.411700000000002,winter,14.02
2024-01-02 12:00:00,14.8968,winter,14.02
2024-01-02 13:00:00,14.97135,winter,14.02
2024-01-02 14:00:00,15.0102,winter,14.02
2024-01-02 15:00:00,15.0858,winter,14.02
2024-01-02 16:00:00,15.453300000000002,winter,14.02
